ALIDA,alida@email.com
FELIX,felix@email.com
JOE,joe@email.com
ANAELLE,anaelle@email.com
ANTOINNETTE,antoinnette@email.com
ARSENE,arsene@email.com
BETHY,bethy@email.com
BRIGITTE,brigitte@email.com
CAROLE,carole@email.com
CENDRINE,cendrine@email.com
CLARISSE,clarisse@email.com
CLAUDINE,claudine@email.com
DIANE,diane@email.com
EDWIDJE,edwidje@email.com
ELODIE,elodie@email.com
ELSIE,elsie@email.com
GEVY,gevy@email.com
INES,ines@email.com
KATHIA,kathia@email.com
MARIE CLAIRE,marie claire@email.com
LINE,line@email.com
LISA,lisa@email.com
MARIA,maria@email.com
MARIELLA,mariella@email.com
MARINA,marina@email.com
MURIELLE,murielle@email.com
NANCIA,nancia@email.com
PAMPHILE ,pamphile @email.com
PATRCK,patrck@email.com
STEPHANIE,stephanie@email.com
SYLVIE,sylvie@email.com
CLEMENTINE,clementine@email.com
TCHATCHO,tchatcho@email.com
VANESSA,vanessa@email.com
VOISINE_1,voisine_1@email.com
VOISINE_2,voisine_2@email.com
VOISINE_FABIOLE,voisine_fabiole@email.com
ZITA,zita@email.com
